Date,Open,High,Low,Close,Adj Close,Volume
1996-02-16,17.638781,17.812847,17.487923,17.623306,11.560066,228740914
1996-02-19,17.948233,18.195793,17.696802,17.801243,11.676788,239163846
1996-02-20,17.793507,17.867001,16.633060,16.861280,11.060215,294959199
1996-02-21,16.861280,16.861280,16.861280,16.861280,11.060215,0
1996-02-22,17.251965,17.870869,17.101107,17.750957,11.643802,283157057
1996-02-23,17.716143,17.754826,17.267437,17.561417,11.519475,252022694
1996-02-26,17.754826,18.122299,17.487923,17.600100,11.544847,251499188
1996-02-27,17.700670,17.793507,17.101107,17.398954,11.412904,250359756
1996-02-28,17.735483,17.932760,17.445372,17.484055,11.468727,197441744
1996-02-29,17.329329,17.391218,16.284925,16.389366,10.750663,322080020
1996-03-01,16.517015,16.725897,16.134068,16.482203,10.811556,333743853
1996-03-04,16.555696,16.633060,16.122463,16.312002,10.699916,310777470
1996-03-05,16.312002,16.312002,16.312002,16.312002,10.699916,0
1996-03-06,16.594379,17.004402,16.447390,16.892225,11.080516,250989255
1996-03-07,17.128183,17.426031,16.961853,17.043083,11.179471,394310217
1996-03-08,16.826468,17.019875,16.613720,16.954117,11.121114,298510635
1996-03-11,16.710423,17.058558,16.644665,17.008270,11.156634,291248773
1996-03-12,16.981194,18.412411,16.903831,17.882475,11.730071,370589598
1996-03-13,17.406691,17.658121,17.193941,17.576891,11.529622,266615573
1996-03-14,17.561417,17.747087,17.445372,17.573021,11.527086,275797603
1996-03-15,17.480186,17.534340,16.865149,16.996668,11.149022,287257851
1996-03-18,16.822599,16.865149,16.161144,16.223036,10.641558,307967990
1996-03-19,16.168882,16.462860,14.892391,15.225052,9.986927,478710303
1996-03-20,15.225052,15.225052,15.225052,15.225052,9.986927,0
1996-03-21,15.859429,16.486071,15.859429,16.315872,10.702456,309417002
1996-03-22,16.010286,16.010286,15.356569,15.654417,10.268570,311431529
1996-03-25,15.855561,15.944529,15.337229,15.561582,10.207674,210982442
1996-03-26,15.472614,15.782066,14.969754,15.461010,10.141702,245693447
1996-03-27,16.014156,16.242376,15.940661,16.010286,10.502007,174091456
1996-03-28,16.052837,16.300400,15.998683,16.219168,10.639020,165867248
1996-03-29,16.199827,16.304268,15.952265,16.002550,10.496926,150429650
1996-04-01,16.072178,16.207563,15.936792,16.153408,10.595887,114225685
1996-04-02,16.188223,16.400970,16.033497,16.195959,10.623796,169566688
1996-04-03,16.559565,16.741367,16.292664,16.331345,10.712603,137080258
1996-04-04,16.168882,16.192091,15.967738,16.137936,10.585735,111609450
1996-04-05,16.137936,16.137936,16.137936,16.137936,10.585735,0
1996-04-08,16.342949,16.493807,16.238508,16.408707,10.763350,105272447
1996-04-09,16.613720,16.803259,16.342949,16.428047,10.776035,147764942
1996-04-10,16.633060,16.706554,16.354553,16.420313,10.770961,131575048
1996-04-11,16.265587,16.362289,16.157276,16.250113,10.659318,99907484
1996-04-12,16.250113,16.826468,16.176619,16.694950,10.951108,157421358
1996-04-15,17.019875,17.464712,16.985062,17.124315,11.232756,219956361
1996-04-16,17.174603,17.387350,17.019875,17.162996,11.258127,179494551
1996-04-17,17.638781,18.083618,17.472448,17.894077,11.737683,189218828
1996-04-18,18.451092,18.973293,18.307970,18.876589,12.382163,316699546
1996-04-19,19.031315,19.379450,18.841776,18.996502,12.460822,303633881
1996-04-22,19.186043,19.224724,18.296366,18.393070,12.064998,266680850
1996-04-23,18.222872,18.470432,17.986914,18.269289,11.983803,263173363
1996-04-24,19.116415,19.967409,19.046787,19.750792,12.955599,246856146
1996-04-25,19.882309,20.307806,18.412411,18.745071,12.295897,286231521
1996-04-26,18.721863,19.143492,18.257685,18.911404,12.405001,291913819
1996-04-29,18.721863,18.818567,18.393070,18.756676,12.303505,194330440
1996-04-30,18.721863,19.340769,18.605818,18.926874,12.415149,198150092
1996-05-01,20.655939,20.880293,20.443192,20.582445,13.501126,228659480
1996-05-02,20.423851,20.702358,20.114397,20.597918,13.511278,233965629
1996-05-03,20.419983,20.539894,20.037035,20.129871,13.204261,227763058
1996-05-06,19.650221,19.758528,18.899797,19.000370,12.463358,272775489
1996-05-07,18.973293,19.375582,18.899797,19.232458,12.615598,253182808
1996-05-08,18.876589,19.611538,18.644501,19.336901,12.684111,362581901
1996-05-09,18.973293,19.371714,18.760546,18.864985,12.374554,281236890
1996-05-10,18.412411,18.772148,18.300234,18.667709,12.245152,279802097
1996-05-13,18.915272,19.178305,18.806961,19.062262,12.503955,183848049
1996-05-14,19.031315,19.719847,18.934612,19.592197,12.851571,300443728
1996-05-15,19.282745,19.804947,18.880457,19.634747,12.879483,423307256
